트레이,품명및사양,자재코드,표준납기,최단납기,납기10,납기15,수량,금액,단가,적정재고,표준단중,1일최대사용량,1일평균사용량,1일평균재고량,현재고,1일사용량표준편차,주기재고,안전재고,신규적정재고-1일평균재고량,기존금액,
A1-10,UNION BRASS BITE TYPE O/D12フ,35442000D12,30,10,10,15,155,289850,1870,180,0.1,15,4,163,156,4.049691346,120,51.68190012,172,9,304810,321045
A1-11,LINER PLATE TEFLON 3T*65A,36521406500,30,7,10,15,249,208413,837,200,0.03,23,4,208,149,4.698862665,120,59.96658268,180,-28,174096,150632
A1-12,LINER PLATE TEFLON 3T*50A,36521405000,30,7,10,15,446,263586,591,400,0.02,23,6,232,114,6.125750786,180,78.17643697,258,26,137112,152582
A1-13,LINER PLATE TEFLON 3T*40A,36521404000,30,7,10,15,650,320450,493,200,0.02,21,5,159,214,4.979837396,150,63.55236409,214,55,78387,105281
A1-14,LINER PLATE TEFLON 3T*32A,36521403200,30,7,10,15,241,112065,465,400,0.02,22,4,232,245,4.886814134,120,62.36520722,182,-50,107880,84800
A1-15,LINER PLATE TEFLON 3T*25A,36521402500,30,7,10,15,359,153293,427,200,0.02,18,3,249,367,4.288312915,90,54.72717321,145,-104,106323,61799
A1-16,LINER PLATE TEFLON 3T*20A,36521402000,30,7,10,15,281,111838,398,200,0.01,24,6,408,276,6.430530626,180,82.06601766,262,-146,162384,104302
A1-17,LINER PLATE TEFLON 3T*15A,36521401500,30,7,10,15,550,203500,370,200,0.01,27,6,174,370,6.185117769,180,78.93407459,259,85,64380,95806
A1-9,UNION BRASS BITE TYPE O/D12フ,35442000D12,30,10,10,15,134,250580,1870,180,0.1,14,3,135,133,3.777124126,90,48.20341482,138,3,252450,258440
A2-10,"GAUGE CONNECTOR BRASS BITE TYPE PF3/8""*8フ",3556AFD2038,30,10,10,15,259,341880,1320,160,0.08,33,6,236,243,7.461733236,180,95.22615895,275,39,311520,363299
A2-11,UNION BRASS BITE TYPE O/D15フ,35442000D15,30,10,10,15,130,365300,2810,120,0.17,22,3,98,135,3.731363949,90,47.61942638,138,40,275380,386711
A2-12,REDUCING UNION BRASS BITE TYPE O/D12フ*O/D8フ,35448000ME2,30,10,10,15,236,420080,1780,190,0.08,15,2,244,239,2.642504169,60,33.723468,94,-150,434320,166828
A2-13,REDUCING UNION BRASS BITE TYPE O/D12フ*O/D10フ,35448000ME3,30,10,10,15,114,186960,1640,180,0.09,13,4,132,112,3.497197758,120,44.63101253,165,33,216480,269995
A2-14,REDUCING UNION BRASS BITE TYPE O/D12フ*O/D6フ,35448000ME1,30,10,10,15,260,379600,1460,200,0.06,35,7,260,257,9.091477919,210,116.0248556,326,66,379600,475996
