사업장,창고,트레이,시리얼 번호,자재 코드,품  명  및   사   양,표준 단중,적정 재고,발주처 코드,발주처명,담당자,연락처,단가
M,2,A1-10,AEW0001A01C010,35442000D12,UNION BRASS BITE TYPE O/D12Φ,0.1,180,,,,,1870.0
M,2,A1-11,AEW0001A01C011,36521406500,LINER PLATE TEFLON 3T*65A,0.03,200,,,,,837.0
M,2,A1-12,AEW0001A01C012,36521405000,LINER PLATE TEFLON 3T*50A,0.02,400,,,,,591.0
M,2,A1-13,AEW0001A01C013,36521404000,LINER PLATE TEFLON 3T*40A,0.02,200,,,,,493.0
M,2,A1-14,AEW0001A01C014,36521403200,LINER PLATE TEFLON 3T*32A,0.02,400,,,,,465.0
M,2,A1-15,AEW0001A01C115,36521402500,LINER PLATE TEFLON 3T*25A,0.02,200,,,,,427.0
M,2,A1-16,AEW0001A01C116,36521402000,LINER PLATE TEFLON 3T*20A,0.01,200,,,,,398.0
M,2,A1-17,AEW0001A01C117,36521401500,LINER PLATE TEFLON 3T*15A,0.01,200,,,,,370.0
M,2,A1-9,AEW0001A01C009,35442000D12,UNION BRASS BITE TYPE O/D12Φ,0.1,180,23187,하이록코리아(주),,,1870.0
M,2,A2-10,AEW0001A02C010,3556AFD2038,"GAUGE CONNECTOR BRASS BITE TYPE PF3/8""*8Φ",0.08,160,,,,,1320.0
M,2,A2-11,AEW0001A02C011,35442000D15,UNION BRASS BITE TYPE O/D15Φ,0.17,120,,,,,2810.0
M,2,A2-12,AEW0001A02C012,35448000ME2,REDUCING UNION BRASS BITE TYPE O/D12Φ*O/D8Φ,0.08,190,,,,,1780.0
M,2,A2-13,AEW0001A02C013,35448000ME3,REDUCING UNION BRASS BITE TYPE O/D12Φ*O/D10Φ,0.09,180,,,,,1640.0
M,2,A2-14,AEW0001A02C014,35448000ME1,REDUCING UNION BRASS BITE TYPE O/D12Φ*O/D6Φ,0.06,200,,,,,1460.0
M,2,A2-15,AEW0001A02C015,35448000MD1,REDUCING UNION BRASS BITE TYPE O/D10Φ*O/D6Φ,0.06,260,,,,,1000.0
M,2,A2-16,AEW0001A02C016,35448000MC1,REDUCING UNION BRASS BITE TYPE O/D8Φ*O/D6Φ,0.05,280,,,,,1080.0
M,2,A2-17,AEW0001A02C017,35448000MD2,REDUCING UNION BRASS BITE TYPE O/D10Φ*O/D8Φ,0.07,100,,,,,1300.0
M,2,A2-3,AEW0001A02C003,357Y1E00D12,UNION TEE BRASS BITE TYPE O/D12Φ,0.19,60,,,,,3050.0
M,2,A2-4,AEW0001A02C004,357Y1E00D10,UNION TEE C3604(BSBM) BITE TYPE O/D10Φ,0.12,70,,,,,2500.0
M,2,A2-5,AEW0001A02C005,357Y1E00D08,UNION TEE C3604(BSBM) BITE TYPE O/D8Φ,0.09,90,,,,,2100.0
M,2,A2-6,AEW0001A02C006,357Y1E00D06,UNION TEE BRASS BITE TYPE O/D6Φ,0.08,110,,,,,1930.0
M,2,A2-7,AEW0001A02C007,357Y1100013,UNION TEE BRASS BITE TYPE 15A,0.57,20,,,,,8330.0
M,2,A2-8,AEW0001A02C008,35552FD4038,"FEMALE CONNECTOR  BRASS FEMALE/BITE PF3/8""*O/D12Φ",0.11,150,,,,,1770.0
M,2,A2-9,AEW0001A02C009,3556AFD2012,"GAUGE CONNECTOR BRASS BITE TYPE PF1/2""*8Φ",0.09,120,,,,,1770.0
M,2,A3-1,AEW0001A03C001,35551TD5012,"MALE CONNECTOR BRASS MALE/BITE PT1/2""*O/D15Φ",0.12,80,,,,,2090.0
M,2,A3-10,AEW0001A03C010,35442000D08,UNION BRASS BITE TYPE O/D8Φ,0.07,630,,,,,910.0
M,2,A3-11,AEW0001A03C011,35442000D12,UNION BRASS BITE TYPE O/D12Φ,0.1,170,,,,,1870.0
M,2,A3-12,AEW0001A03C012,35442000D10,UNION BRASS BITE TYPE O/D10Φ,0.08,570,,,,,1320.0
M,2,A3-13,AEW0001A03C013,3556AFD3038,"GAUGE CONNECTOR BRASS BITE TYPE PF3/8""*10Φ",0.1,160,,,,,1390.0
M,2,A3-14,AEW0001A03C014,3556AFD3012,"GAUGE CONNECTOR BRASS BITE TYPE PF1/2""*10Φ",0.1,110,,,,,1700.0
M,2,A3-15,AEW0001A03C015,3592160F012,"BOSS SS400 THREAD A-TYPE FOR WALL 60L*PF1/2""",0.77,40,,,,,3330.0
M,2,A3-16,AEW0001A03C016,3592160F100,"BOSS SS400 THREAD A-TYPE FOR WALL 60L*PF1""",0.54,40,,,,,2790.0
M,2,A3-17,AEW0001A03C017,3592160F034,"BOSS SS400 THREAD A-TYPE FOR WALL 60L*PF3/4""",0.68,40,,,,,2210.0
M,2,A3-2,AEW0001A03C002,35551TD1612,"MALE CONNECTOR BRASS MALE/BITE PT1/2""*O/D6Φ",0.16,100,,,,,1250.0
M,2,A3-3,AEW0001A03C003,35551FD3014,"MALE CONNECTOR BRASS MALE/BITE PF1/4""*O/D10Φ",0.06,150,,,,,1200.0
M,2,A3-4,AEW0001A03C004,35551FD3014,"MALE CONNECTOR BRASS MALE/BITE PF1/4""*O/D10Φ",0.06,240,,,,,1200.0
M,2,A3-5,AEW0001A03C005,35551TD3038,"MALE CONNECTOR BRASS MALE/BITE PT3/8""*O/D10Φ",0.06,240,,,,,1400.0
M,2,A3-6,AEW0001A03C006,35551TD2014,"MALE CONNECTOR BRASS MALE/BITE PT1/4""*O/D8Φ",0.04,320,,,,,870.0
M,2,A3-7,AEW0001A03C007,35551TD2038,"MALE CONNECTOR BRASS MALE/BITE PT3/8""*O/D8Φ",0.06,200,,,,,1010.0
