호선,호선명,GINR,DOCK,BATCH,년BATCH,선종,선형,연번,선주,선급1,선급2,선급3,국적,시리즈 대표호선,시리즈번호,계약일자,W/C일자,K/L일자,F/T일자,L/C일자,D/L일자,도면완료일,제작블럭수,탑재블럭수,W/C실적일자,K/L실적일자,L/C실적일자,D/L실적일자,선주도면승인기간,선급도면승인기간,계약인도일,대일정계획시 주요공정체크,탑재네트워크확정REVNO,탑재네트워크확정일자,일정재생성가부,공수재생성가부,중일정공수조정가부,D/L여부,설계대표호선,설계 시리즈 번호,건조 방식(T:Tandem S:straight),"FWD일정 생성시 신종선 연속선에 따라 POR발행계획일이 MP 생성일 기준 2주, 3주(2:2주 3:3주)",mp생성일(호선의 mp등록일 중 가장 빠른 날짜을 넣어줌[2005/12/20추가됨]),,,,출항 예정일,Load Out 일자 (육상건조),,"호선 건조구분(H: HMD, V: HVS, 1:신조, 2:개조, 3:수리, 4:기술수출)","계약정보(Y:계약, N:미계약,C:취소,D:보류,O:옵션)",E/R ACCESS HOLE FT전 위치,E/R ACCESS HOLE FT후 위치,조기K/L,조기 K/L BLOCK,"HVS자재대수수료(0:1.07, 1:1)",FT전 도크내호선위치(E/W)-STRAIGHT는 여기만 값 유지,FT후 도크내호선위치(E/W),가상W/C
000106,ILE DE SEIN,N,3,14,01-2,CL   ,10K,1 ,ALCATEL,BV        ,,,FRANCE,000106,1 ,2000-04-01,2000-12-04,2001-03-13,,2001-06-08,2001-10-15,2015-05-12,1,0,2000-12-04,2001-03-13,2001-06-08,2002-01-31,0,0,2001-08-31,Y,R7,2001-04-25,Y,Y,Y,Y,000106,01,S,2,,290,1.75,20,2002-02-26,,N,H1,Y,,,,,,,,
000206,ILE DE BATZ,N,4,3,01-2,CL   ,10K,2 ,ALCATEL,BV        ,,,FRANCE,000106,1 ,2000-04-01,2000-12-22,2001-04-27,,2001-07-06,2002-02-10,,0,0,2000-12-22,2001-04-27,2001-07-06,2002-03-05,0,0,2001-10-31,Y,R4,2001-04-25,Y,Y,Y,Y,000106,01,S,2,,290,1.75,20,2002-03-07,,N,H1,Y,,,,,,,,
000306,KNIGHT,N,3,13,01-1,CL   ,12.6K,1 ,DOCKWISE N.V,DNV       ,,,NETHERLANDS,000306,1 ,2000-02-14,2000-09-18,2000-11-15,,2001-03-02,2001-09-15,,0,0,2000-09-18,2000-11-15,2001-03-02,2001-09-15,0,0,2001-06-30,Y,R1,2000-10-24,Y,Y,Y,Y,000306,,S,2,,290,1.75,20,2001-09-26,,N,H1,Y,,,,,,,,
000406,ANTIGNANO,N,3,16,01-4,CT   ,35K,1 ,DALESIO,RINA      ,,,PANAMA,000406,1 ,2000-02-03,2001-05-21,2001-09-12,,2001-12-07,2002-02-22,,0,0,2001-05-21,2001-09-14,2001-12-12,2002-02-28,0,0,2002-01-30,Y,RC,2001-09-25,Y,Y,Y,Y,000406,,S,2,,290,1.75,20,2002-03-04,,N,H1,Y,,,,,,,,
000506,ACUQUA VIVA,N,4,5,02-1,CT   ,35K,2 ,DALESIO,RINA      ,,,PANAMA,000406,2 ,2000-02-03,2001-06-26,2001-10-22,,2002-01-08,2002-03-27,,0,0,2001-06-26,2001-10-22,2002-01-08,2002-04-19,0,0,2002-04-30,Y,R9,2001-12-13,Y,Y,Y,Y,000406,,S,2,,290,1.75,20,2002-04-20,,N,H1,Y,,,,,,,,
000606,FLORES 1,N,3,13,01-1,CT   ,37K,1 ,STOCKPORT,DNV       ,,,PANAMA,000606,1 ,2000-03-20,2000-08-22,2000-11-15,,2001-03-02,2001-06-30,,0,0,2000-08-22,2000-11-15,2001-03-02,2001-07-05,0,0,2001-09-24,Y,R0,2000-06-15,Y,Y,Y,Y,000606,,S,2,,290,1.75,20,2001-07-25,,N,H1,Y,,,,,,,,
000706,SICILIA,N,3,15,01-3,CT   ,37K,2 ,ALLENTOWN,DNV       ,,,PANAMA,000606,1 ,2000-03-20,2001-02-12,2001-06-11,,2001-09-12,2001-12-03,,0,0,2001-02-12,2001-06-11,2001-09-12,2001-12-03,0,0,2001-11-24,Y,R3,2001-06-26,Y,Y,Y,Y,000606,,S,2,,290,1.75,20,2001-12-04,,N,H1,Y,,,,,,,,
000906,MARNE,N,3,14,01-2,CT   ,37K,1 ,ANDROMEDA,DNV       ,,,N.I.S,000906,1 ,2000-03-17,2000-11-24,2001-03-05,,2001-06-08,2001-09-12,,0,0,2000-11-24,2001-03-05,2001-06-08,2001-09-12,21,0,2001-09-30,Y,R2,2001-04-25,Y,Y,Y,Y,000906,,S,2,,290,1.75,20,2001-09-24,,N,H1,Y,,,,,,,,
001006,ASHLEY,N,3,15,01-3,CT   ,37K,2 ,ANDROMEDA,DNV       ,,,N.I.S,000906,2 ,2000-03-17,2001-02-12,2001-06-11,,2001-09-12,2001-11-23,,0,0,2001-02-12,2001-06-11,2001-09-12,2001-11-19,0,0,2001-10-31,Y,R5,2001-06-26,Y,Y,Y,Y,000906,,S,2,,290,1.75,20,2001-11-20,,N,H1,Y,,,,,,,,
001206,KERSAINT,N,4,2,01-1,CT   ,37K,1 ,SOCATRA,BV        ,,,ST.VINCENT,001206,1 ,2000-03-25,2000-09-08,2000-12-26,,2001-04-24,2001-07-27,,0,0,2000-09-08,2000-12-26,2001-04-24,2001-07-27,0,0,2001-09-24,Y,R0,2001-02-04,Y,Y,Y,Y,001206,,S,2,,290,1.75,20,2001-07-29,,N,H1,Y,,,,,N,,,
